epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1996.34,0.63268,0.34319,0.82212,0.93898,0.95626,0.98527,0.81639,0.62527,0.3381,0.82989,0.00044296,0.00044296,0.00044296
83,2020.18,0.62977,0.34221,0.82216,0.93679,0.96057,0.98438,0.81788,0.61688,0.3357,0.82971,0.000432689,0.000432689,0.000432689
84,2044.01,0.63213,0.34081,0.82294,0.93479,0.9623,0.98408,0.81987,0.61579,0.33709,0.82829,0.000422449,0.000422449,0.000422449
85,2068.07,0.62809,0.33888,0.82082,0.93751,0.95893,0.98418,0.81768,0.62247,0.34112,0.82989,0.000412246,0.000412246,0.000412246
86,2091.94,0.62281,0.33699,0.82082,0.93939,0.95789,0.98445,0.82076,0.61528,0.33673,0.82832,0.000402084,0.000402084,0.000402084
87,2115.83,0.61933,0.3363,0.81936,0.94153,0.95417,0.98401,0.81788,0.62238,0.33522,0.83079,0.000391966,0.000391966,0.000391966
88,2139.84,0.62019,0.33504,0.8197,0.94656,0.94962,0.98475,0.82084,0.61389,0.33516,0.82764,0.000381899,0.000381899,0.000381899
89,2163.69,0.62256,0.33621,0.81817,0.94371,0.95265,0.9843,0.8204,0.61068,0.33267,0.82622,0.000371885,0.000371885,0.000371885
90,2187.67,0.61919,0.33411,0.8191,0.94126,0.95665,0.98441,0.82,0.61419,0.33422,0.82832,0.000361929,0.000361929,0.000361929
91,2211.57,0.61885,0.33133,0.81932,0.93368,0.96201,0.98431,0.82266,0.60848,0.33441,0.82865,0.000352037,0.000352037,0.000352037
92,2235.61,0.61877,0.33224,0.81759,0.94277,0.95414,0.98476,0.82224,0.60979,0.33172,0.82875,0.000342211,0.000342211,0.000342211
93,2259.24,0.61463,0.32878,0.81674,0.93984,0.95868,0.98486,0.82188,0.60875,0.33169,0.82709,0.000332457,0.000332457,0.000332457
94,2282.95,0.61322,0.32655,0.81583,0.94076,0.95879,0.98441,0.82034,0.61337,0.33163,0.82991,0.000322778,0.000322778,0.000322778
95,2306.56,0.61361,0.32746,0.81816,0.94376,0.94827,0.98411,0.81861,0.61753,0.33397,0.82977,0.00031318,0.00031318,0.00031318
96,2329.83,0.61329,0.32822,0.81726,0.93722,0.95868,0.98367,0.81738,0.6192,0.33314,0.82958,0.000303665,0.000303665,0.000303665
97,2353.16,0.60897,0.32648,0.81611,0.93819,0.95758,0.98457,0.81957,0.6169,0.33045,0.82972,0.000294239,0.000294239,0.000294239
98,2376.5,0.60653,0.32548,0.81607,0.94218,0.95294,0.9849,0.81917,0.61862,0.33413,0.83083,0.000284906,0.000284906,0.000284906
99,2399.81,0.61289,0.32689,0.81721,0.93693,0.95924,0.98435,0.82128,0.61562,0.32986,0.82966,0.000275668,0.000275668,0.000275668
100,2423.05,0.60589,0.32416,0.81681,0.93747,0.95879,0.98387,0.81978,0.61568,0.32972,0.83259,0.000266532,0.000266532,0.000266532
101,2446.23,0.60704,0.32569,0.81714,0.94093,0.95639,0.9844,0.82053,0.6146,0.33021,0.83177,0.0002575,0.0002575,0.0002575
102,2469.37,0.60391,0.32028,0.81705,0.94229,0.95138,0.98449,0.8199,0.6189,0.33274,0.83167,0.000248577,0.000248577,0.000248577
103,2492.46,0.60781,0.32403,0.81542,0.94289,0.95348,0.98373,0.8186,0.61352,0.32981,0.83057,0.000239766,0.000239766,0.000239766
104,2515.65,0.6023,0.32044,0.81496,0.94077,0.95603,0.98405,0.81972,0.61582,0.32889,0.83274,0.000231071,0.000231071,0.000231071
105,2538.94,0.59603,0.31703,0.81301,0.94221,0.95503,0.9839,0.8196,0.61575,0.32857,0.83317,0.000222497,0.000222497,0.000222497
106,2562.33,0.59714,0.31777,0.81487,0.93705,0.95857,0.98386,0.82252,0.60823,0.32971,0.82897,0.000214046,0.000214046,0.000214046
107,2585.69,0.59827,0.31852,0.81531,0.94742,0.94694,0.98389,0.81779,0.62071,0.33081,0.83142,0.000205723,0.000205723,0.000205723
108,2608.94,0.59877,0.31733,0.81365,0.94294,0.95503,0.98441,0.82186,0.6128,0.32824,0.8302,0.000197532,0.000197532,0.000197532
109,2632.07,0.59542,0.31495,0.81543,0.94348,0.95447,0.98472,0.82219,0.61416,0.32913,0.83102,0.000189475,0.000189475,0.000189475
110,2655.25,0.59596,0.31629,0.81453,0.93984,0.95724,0.9834,0.81926,0.61833,0.32937,0.83412,0.000181557,0.000181557,0.000181557
111,2678.57,0.59207,0.31467,0.8126,0.93693,0.95857,0.98374,0.81997,0.61957,0.32745,0.83273,0.00017378,0.00017378,0.00017378
